"Label","card_tenure","risk_score","num_promoted","avg_bal"
"1",44,724,0,3026
"0",214,639,0,3215
"0",71,697,0,3391
"0",107,669,0,3646
"0",151,637,0,3906
"0",119,583,0,3233
"0",52,728,0,3188
"0",83,667,0,2683
"1",79,607,0,3020
"0",135,737,0,3598
"0",533,659,0,931
"0",123,640,0,3785
"0",131,719,0,1344
"0",179,699,0,2987
"0",119,720,0,3649
"0",60,726,0,2758
"1",111,704,0,3892
"0",171,520,0,295
"0",163,687,0,2721
"1",135,677,0,3668
"0",163,680,0,NA
"0",186,712,0,3365
"0",198,752,0,2923
"0",163,520,0,3832
"0",139,617,0,4029
"0",131,695,0,1506
"0",190,679,0,2489
"0",218,520,0,1494
"0",123,733,0,2189
"0",179,717,0,NA
"0",569,739,0,-132
"0",107,750,0,3240
"0",242,691,0,4095
"0",171,629,0,3538
"0",115,699,0,2664
"1",182,650,0,3799
"0",123,584,0,2967
"0",198,720,0,3932
"1",119,520,0,1295
"1",115,727,0,3512
"0",135,698,0,3120
"0",155,760,0,3262
"1",16,757,0,3941
"0",135,667,0,3764
"0",246,760,0,837
"0",151,612,0,3183
"0",175,520,0,3706
"0",230,653,0,3301
"0",131,520,0,2587
"0",67,704,0,3268
"0",115,679,0,2206
"0",83,553,0,3287
"0",119,704,0,NA
"0",139,520,0,775
"1",48,697,0,3613
"1",246,681,0,3002
"0",91,725,0,NA
"0",151,694,0,3746
"0",103,641,1,3056
"0",NA,520,0,2710
"0",95,712,0,3321
"0",147,727,0,3478
"0",87,637,0,3188
"0",115,738,0,1639
"0",NA,520,0,3371
"0",151,642,0,NA
"0",67,520,0,3101
"0",159,728,0,2952
"0",155,713,0,3728
"1",79,520,0,3587
"0",79,662,0,2577
"0",103,645,0,3233
"0",127,655,0,3321
"0",63,760,0,3803
"0",52,712,0,3870
"0",159,742,0,NA
"0",246,759,0,3557
"0",103,737,1,2542
"0",123,520,0,2133
"0",175,742,0,3888
"0",151,719,0,3250
"0",135,670,0,3569
"1",28,618,0,3826
"0",179,634,0,3746
"0",83,641,0,3321
"0",190,720,0,3481
"0",135,609,0,3711
"0",139,675,0,3484
"0",83,714,0,3436
"0",99,718,0,1285
"0",246,714,0,3179
"0",143,637,0,3534
"0",210,520,0,3981
"0",83,738,0,3410
"0",99,756,0,3566
"0",246,666,0,3233
"0",111,739,1,1976
"0",103,759,0,2451
"0",175,622,0,2598
"0",214,747,0,3557
"0",159,520,0,4069
"0",135,520,0,2149
"0",71,547,0,4083
"0",75,615,0,3144
"0",52,760,0,2464
"0",127,622,0,3620
"1",131,680,0,975
"0",127,520,0,3455
"0",83,664,0,1661
"0",111,520,0,2491
"0",167,555,0,3126
"0",179,699,0,3188
"0",40,739,0,3365
"0",75,588,0,2760
"0",131,540,0,3878
"0",151,674,0,2524
"0",151,694,0,2665
"0",194,599,0,3941
"0",194,702,0,2896
"0",182,639,0,3336
"0",123,580,0,3380
"0",91,760,0,3674
"1",103,520,0,3986
"0",115,633,0,2808
"0",167,718,0,NA
"0",246,520,0,4051
"0",119,717,0,2524
"0",127,520,0,1326
"0",175,520,0,2379
"0",246,759,0,NA
"0",107,520,0,3383
"0",67,548,0,2760
"0",63,520,0,1459
"0",532,640,0,3336
"0",454,744,0,2745
"0",198,697,0,3410
"1",194,728,0,3779
"0",111,675,0,3041
"0",131,520,0,153
"0",107,741,0,3303
"0",175,628,0,3056
"1",182,520,0,3336
"0",63,737,0,3635
"0",67,669,0,3300
"0",155,709,0,3768
"0",159,520,0,3247
"0",107,520,0,3941
"1",194,604,0,3787
"0",246,748,0,3445
"0",206,613,0,3835
"0",135,709,0,NA
"0",87,520,0,4050
"0",123,520,0,3832
"0",67,702,0,3144
"0",371,721,0,3208
"0",95,752,0,3852
"0",246,755,0,3959
"0",123,607,0,3852
"0",NA,633,0,3268
"0",246,756,0,3764
"0",234,756,0,3765
"0",115,712,0,3675
"0",175,520,0,3913
"0",16,756,0,4012
"0",135,613,0,3377
"0",60,760,0,3941
"1",147,520,0,10010
"0",175,694,0,2038
"0",NA,757,0,3528
"0",63,659,0,3306
"0",52,520,0,2521
"0",194,692,0,3144
"0",218,639,0,2719
"1",155,699,0,1816
"0",103,520,0,2976
"0",167,724,0,2640
"0",206,757,0,3684
"0",135,520,0,3799
"0",159,641,0,3410
"0",111,652,0,3333
"0",186,722,0,2175
"0",182,661,0,3551
"0",79,714,0,3881
"0",179,707,0,3604
"0",131,679,0,2716
"0",234,520,0,2296
"0",111,642,0,3425
"0",190,707,0,2544
"0",222,759,0,3967
"0",115,520,0,2581
"0",159,646,0,2849
"0",NA,685,0,2672
"0",218,728,0,2466
"0",56,593,0,3994
"0",230,520,0,2957
"0",95,744,0,3578
"0",194,691,0,2761
"0",179,656,0,3126
"0",159,699,0,1226
"0",111,520,0,NA
"0",75,598,0,3560
"0",135,520,0,1924
"0",179,520,0,2122
"0",182,680,0,3144
"0",182,681,0,3675
"0",115,665,0,3056
"0",91,705,0,3569
"0",67,520,0,521
"0",52,672,0,3481
"0",206,577,0,3453
"0",190,591,0,3445
"0",91,520,0,2489
"0",127,654,0,2524
"1",127,520,0,3941
"0",171,760,0,3544
"0",63,667,0,3587
"0",171,520,0,3402
"0",63,734,0,3020
"0",246,758,0,3431
"1",75,759,0,3693
"1",159,553,0,3817
"0",171,693,0,3082
"0",222,760,0,7817
"0",186,520,0,3066
"0",206,657,0,3542
"1",155,520,0,1728
"0",198,718,0,-132
"0",139,738,0,3661
"0",67,756,0,3083
"0",135,703,0,2923
"0",103,614,0,3817
"0",171,520,0,3921
"0",40,612,0,3970
"0",151,673,0,1968
"0",135,701,0,2524
"0",115,691,0,3534
"0",167,619,0,3420
"0",167,727,0,3360
"0",186,733,0,2008
"0",182,520,0,3618
"0",95,731,0,3631
"0",127,553,0,NA
"0",83,652,0,3392
"1",135,682,0,3472
"0",107,759,0,3764
"0",131,520,0,3587
"0",222,520,0,2115
"0",135,721,0,2849
"0",71,686,0,3011
"0",234,709,0,3764
"0",139,520,0,2755
"0",194,520,0,3788
"0",143,688,0,1019
"0",119,713,0,3498
"0",44,669,0,3604
"0",115,696,1,3197
"0",95,633,0,3764
"1",71,520,0,3883
"0",143,705,0,NA
"0",107,637,0,3268
"0",44,714,0,3666
"0",147,703,0,2967
"0",103,656,0,3268
"0",83,584,0,NA
"0",99,674,0,3188
"0",119,520,0,1914
"0",175,711,0,1274
"0",75,675,0,2701
"0",194,724,0,1536
"1",151,693,0,2377
"0",194,694,0,2908
"0",179,674,0,2819
"0",48,682,0,3587
"0",44,730,0,3528
"0",171,706,0,3569
"0",NA,524,0,3365
"0",163,684,1,2312
"0",182,685,0,3132
"0",226,520,0,2155
"0",182,699,0,9398
"0",95,747,0,3631
"0",155,645,0,3008
"0",87,687,0,3737
"0",107,558,0,3768
"0",179,520,0,2084
"0",79,591,0,3773
"0",214,520,0,1760
"0",163,741,0,3506
"0",103,699,0,3270
"0",115,697,0,2967
"0",91,674,0,NA
"0",143,759,0,2964
"0",194,520,0,3063
"0",56,520,0,-132
"0",123,606,0,3410
"0",28,759,0,3711
"0",246,520,0,4046
"0",135,552,0,3994
"0",107,750,0,2347
"0",103,676,0,1927
"0",186,735,0,1639
"0",147,669,0,3051
"0",190,636,0,2949
"0",143,687,0,3215
"0",103,627,0,3257
"0",246,753,0,3587
"0",182,699,0,3056
"0",24,729,0,3943
"0",32,760,0,2772
"0",95,696,0,3303
"0",143,691,0,3483
"0",171,667,0,3572
"0",75,722,0,2772
"0",48,757,0,-132
"0",143,742,0,2575
"0",179,642,0,1328
"0",67,735,0,3410
"0",159,726,0,NA
"1",48,658,0,3966
"1",135,601,0,3743
"0",95,705,0,3233
"0",139,654,0,2096
"0",107,667,0,2507
"0",123,637,0,3360
"0",99,658,0,2503
"0",163,599,0,4002
"0",159,614,0,2731
"0",515,717,0,3773
"0",111,643,0,3530
"0",131,710,0,3374
"0",206,729,0,3560
"0",107,636,0,3233
"0",NA,626,1,3933
"0",179,697,0,2878
"0",206,520,0,2398
"0",135,739,0,2179
"0",139,750,0,3425
"0",230,666,0,2819
"0",71,662,0,3363
"0",75,758,0,3339
"0",222,760,0,3879
"0",246,520,0,-4
"0",202,520,0,-132
"1",99,709,0,3303
"0",95,660,0,2586
"0",155,520,0,950
"0",182,732,0,2064
"0",143,520,0,3221
"0",119,526,0,3587
"0",44,759,0,3658
"0",123,559,0,3985
"0",75,576,0,3309
"0",131,712,0,1568
"0",151,520,0,3208
"1",131,737,0,3187
"0",131,672,0,3658
"0",234,701,0,3144
"0",179,751,0,2436
"0",107,747,0,2427
"0",171,671,0,2524
"0",175,707,0,-132
"0",159,665,0,3728
"0",194,711,0,3218
"0",143,753,0,2524
"0",198,696,0,3002
"0",127,719,0,2932
"0",131,718,0,2318
"0",167,622,0,3183
"0",32,708,0,3764
"0",52,520,0,2469
"0",226,520,0,3873
"1",28,740,0,3658
"0",139,520,0,3807
"0",99,722,0,2170
"0",151,540,0,3793
"0",226,672,0,3298
"1",75,704,0,3026
"0",143,717,0,3056
"0",171,520,0,3010
"0",103,584,0,3572
"0",163,638,0,3410
"0",186,727,0,2702
"0",52,760,0,3906
"0",155,686,0,3073
"0",60,654,0,NA
"0",123,520,0,3941
"0",147,686,0,2966
"0",111,738,0,3144
"0",179,725,0,2754
"0",246,520,0,NA
"0",147,520,0,3382
"0",123,683,0,2978
"0",533,728,0,3693
"0",159,524,0,3568
"0",155,661,0,3349
"1",115,520,0,2440
"0",163,665,0,3161
"0",234,752,0,-132
"0",139,664,0,3314
"0",119,520,0,3949
"0",83,676,0,3557
"1",91,520,0,2307
"0",99,673,0,2863
"0",171,718,0,3341
"0",151,591,0,3233
"1",151,718,0,3635
"0",155,732,0,2436
"0",175,520,0,2721
"0",75,760,0,2407
"0",186,520,0,NA
"0",52,709,0,3822
"0",75,743,0,3607
"0",111,694,0,2648
"0",28,737,0,3439
"0",99,750,0,2744
"0",584,652,0,3038
"0",190,708,0,3321
"0",214,732,0,3115
"0",91,662,0,3548
"1",123,520,0,3777
"0",56,699,0,4074
"0",182,543,0,4024
"0",119,613,0,3672
"0",222,673,0,2967
"0",67,520,0,3215
"0",131,520,0,3727
"0",87,733,0,3162
"0",230,723,0,3462
"0",103,520,0,1911
"0",103,684,0,680
"0",147,674,0,966
"0",202,633,0,3499
"0",151,649,0,2790
"0",52,651,0,1869
"0",103,699,0,2446
"0",135,683,0,3853
"0",147,708,0,1801
"0",163,737,0,3481
"0",139,700,0,3718
"0",171,660,0,3821
"0",238,759,0,3994
"0",167,520,0,2207
"0",107,674,0,3020
"1",83,725,0,3723
"0",95,628,0,3679
"0",135,520,0,3947
"0",147,659,0,3906
"0",190,520,0,3109
"1",87,679,0,3321
"0",151,520,0,2909
"0",87,685,0,2524
"1",159,615,0,1657
"0",175,659,0,2023
"0",175,520,0,900
"0",56,757,0,3056
"0",91,690,0,3088
"0",115,704,0,3395
"0",218,520,0,405
"0",234,635,0,2905
"0",56,646,0,3835
"0",115,678,0,3091
"0",175,756,0,3197
"0",167,680,0,3675
"0",163,760,0,3357
"0",83,645,0,2923
"0",79,716,0,3410
"1",119,657,0,3450
"0",182,520,0,3009
"1",147,680,0,3896
"0",222,708,0,3115
"0",103,520,0,1912
"1",56,745,0,3786
"0",179,760,0,2375
"0",179,758,0,3041
"1",171,707,0,3392
"0",171,630,0,3498
"1",44,520,0,NA
"0",103,520,0,3090
"0",52,733,0,3188
"0",107,683,0,2377
"0",95,678,0,3262
"0",131,630,1,3392
"0",48,682,0,3882
"0",198,693,0,4047
"1",123,667,0,2740
"0",155,688,0,3587
"0",63,520,0,3487
"0",202,520,0,-132
"0",103,557,0,2813
"1",139,735,0,3030
"0",238,520,0,2762
"0",115,520,0,3980
"0",63,698,0,3808
"0",115,689,0,3484
"0",67,712,0,3780
"0",246,756,0,3896
"0",182,676,0,3336
"0",155,747,0,2229
"1",60,566,0,3544
"0",95,690,0,3342
"0",210,669,0,3038
"0",163,680,0,2937
"0",226,520,0,2096
"0",95,759,0,1344
"0",202,666,0,2869
"0",535,520,0,3557
"0",91,732,0,3481
"0",91,740,0,3852
"0",63,641,0,3764
"0",123,660,0,3410
"1",202,595,0,1347
"0",155,677,0,1822
"0",147,520,0,2118
"0",210,719,0,3336
"0",234,520,0,2635
"0",103,698,0,3440
"0",151,719,0,860
"0",95,653,0,2808
"0",44,690,0,3709
"0",175,520,0,2997
"0",194,758,0,2672
"0",99,520,0,3591
"0",206,714,0,3233
"0",123,613,0,2994
"0",218,734,0,2878
"0",234,760,0,2451
"0",115,731,0,2746
"0",75,520,0,2279
"0",20,734,0,3764
"0",139,673,0,NA
"0",190,520,0,2831
"0",222,520,0,2773
"0",123,682,0,2436
"0",139,707,0,3661
"0",190,704,0,NA
"0",167,759,0,3693
"0",182,715,0,2436
"0",63,579,0,3675
"0",107,678,0,2200
"0",179,710,0,2294
"0",214,520,0,1583
"0",230,745,0,3587
"0",103,662,0,3498
"0",99,722,1,3132
"0",79,589,0,2893
"0",175,520,0,3584
"0",246,760,0,3452
"1",139,520,0,4051
"0",111,757,0,3516
"0",123,665,0,3233
"0",99,520,0,894
"0",171,652,0,3168
"0",155,520,0,-132
"0",123,691,0,2082
"0",147,760,0,2971
"1",40,661,0,3551
"0",151,555,0,2843
"0",75,559,0,4012
"0",131,661,0,960
"0",NA,628,0,3113
"0",91,706,0,3056
"0",182,680,0,2046
"0",60,703,0,3792
"1",179,520,0,3678
"0",222,520,0,2512
"0",119,520,0,2916
"0",91,741,0,3059
"0",175,520,0,2871
"0",40,760,0,3833
"0",171,698,0,1462
"1",91,681,0,3410
"0",163,520,0,2807
"0",99,760,0,3587
"0",131,738,0,2598
"0",143,700,0,3764
"0",119,726,0,3661
"0",151,520,0,2433
"0",238,759,0,2436
"0",119,638,0,3764
"1",40,520,0,3508
"0",127,737,0,3056
"0",151,520,0,2034
"0",56,704,0,3410
"0",246,520,0,935
"0",24,736,0,3357
"0",175,697,0,2524
"0",111,665,0,1568
"0",246,523,0,3020
"0",242,757,0,3782
"0",95,749,0,2878
"0",56,758,0,3795
"0",246,520,0,2368
"0",111,682,0,3556
"0",182,695,0,3402
"0",147,685,0,2758
"0",115,620,0,3498
"0",119,757,0,3410
"0",95,751,0,3557
"1",143,671,0,3303
"0",99,698,0,1196
"0",83,695,0,3260
"0",143,614,0,3562
"0",143,729,0,1208
"0",71,738,0,3215
"0",119,695,0,3468
"0",56,730,0,3535
"0",190,520,0,3979
"0",175,697,0,1772
"0",186,758,0,3481
"0",79,520,0,1693
"0",79,637,0,3020
"0",87,760,0,3675
"0",155,679,0,2872
"0",246,759,0,1344
"0",182,686,0,2849
"0",179,714,0,3215
"0",151,686,0,2687
"0",111,710,1,2524
"0",83,742,0,3394
"0",56,697,0,3091
"0",99,708,0,2657
"1",75,520,0,3888
"0",151,725,0,2524
"1",107,520,0,3407
"0",175,719,0,2524
"0",79,728,0,3262
"0",131,623,0,3239
"0",175,646,0,3056
"0",83,758,0,4083
"1",127,582,0,2828
"0",131,655,0,739
"0",194,677,0,3204
"0",234,520,0,3399
"1",52,655,0,3573
"0",87,639,0,3208
"0",167,670,0,3233
"0",155,645,0,2452
"0",155,520,0,3736
"0",151,640,0,2856
"0",143,520,0,2630
"0",190,726,0,3635
"0",83,663,0,3675
"0",159,698,0,2630
"1",115,657,0,3162
"0",246,760,0,729
"0",75,697,0,3410
"0",95,520,0,4012
"0",67,706,0,NA
"0",71,588,0,3557
"0",214,520,0,447
"0",NA,655,0,2772
"0",32,520,0,2239
"0",44,618,0,3920
"0",246,760,0,2819
"0",24,759,0,3498
"0",147,756,0,3654
"0",63,707,0,3534
"0",190,642,0,3714
"0",83,684,0,2684
"0",NA,732,0,2737
"0",123,647,0,2613
"0",194,717,0,3770
"0",234,651,0,3879
"0",163,691,0,NA
"0",139,672,0,2613
"0",103,675,0,2883
"0",127,678,0,3009
"0",151,520,0,3207
"0",67,520,0,3233
"0",139,653,0,2985
"0",163,597,0,3115
"0",83,683,0,3020
"0",186,754,0,2897
"0",182,661,0,3764
"0",186,520,0,3821
"0",71,719,0,NA
"0",238,687,0,3533
"1",123,665,0,3377
"0",48,520,0,3631
"0",60,686,0,2082
"0",190,520,0,3988
"0",226,520,0,3028
"0",163,706,0,1639
"0",139,706,0,2186
"1",NA,606,0,3144
"1",48,725,0,3927
"0",131,666,0,3587
"0",194,736,0,3587
"0",123,520,0,4032
"0",71,667,0,3616
"0",151,759,0,3728
"0",95,520,0,1600
"0",99,633,0,NA
"0",115,734,0,2797
"0",48,716,0,1143
"0",107,731,0,3126
"0",151,751,0,2170
"0",151,754,0,1344
"0",186,649,0,1143
"0",147,705,0,2729
"0",99,520,0,3055
"0",238,585,0,2790
"0",190,612,0,2635
"0",40,732,0,3445
"0",238,749,0,3534
"1",91,667,0,3374
"0",115,722,0,2687
"0",139,760,0,3786
"0",179,750,0,3646
"0",202,520,0,1758
"0",246,760,0,2908
"0",182,674,0,3233
"0",210,735,0,4034
"1",119,631,0,3484
"0",115,724,0,3336
"0",48,758,0,2220
"0",194,702,0,1639
"0",155,665,0,3410
"0",147,686,0,2312
"0",206,520,0,3473
"0",135,686,0,2583
"0",202,759,0,3056
"0",198,713,0,3587
"0",179,520,0,2819
"0",163,577,0,2273
"0",95,672,0,2836
"0",139,520,0,1702
"0",87,745,0,2008
"0",56,699,0,3114
"0",131,664,0,1462
"0",171,653,0,3056
"1",12,520,0,3431
"0",115,747,0,3557
"0",246,718,0,2672
"0",151,722,1,753
"0",71,672,0,3516
"0",87,727,0,3705
"0",111,701,0,2377
"0",182,520,0,2807
"0",139,706,0,2383
"0",127,643,0,9593
"0",226,520,0,2230
"0",48,674,0,NA
"0",115,695,0,2944
"0",202,757,0,3963
"0",115,738,0,3358
"0",107,686,0,2546
"0",214,599,0,3439
"0",60,754,0,3640
"1",107,702,0,3050
"0",179,757,0,2241
"0",40,705,0,3922
"0",119,544,0,3630
"0",155,690,0,2932
"0",234,520,0,2993
"0",115,520,0,4007
"1",131,733,0,3728
"0",198,687,0,2878
"0",44,726,0,3219
"0",155,653,0,3734
"0",87,734,0,3693
"0",179,520,0,3223
"0",167,760,0,2799
"0",95,614,0,3336
"0",103,668,0,4083
"0",67,540,0,3749
"0",71,654,0,3528
"0",202,741,0,3587
"0",179,675,0,1462
"0",24,757,0,3735
"0",103,676,0,NA
"0",44,746,0,3056
"0",48,735,0,NA
"0",67,694,0,2340
"0",143,685,0,3311
"1",139,520,0,3884
"0",246,759,0,3551
"0",79,655,0,3227
"0",143,690,0,NA
"0",44,700,0,3635
"0",79,724,0,3410
"0",135,634,0,7375
"0",202,520,0,2068
"0",139,619,0,3504
"0",131,688,0,2625
"0",71,647,0,3330
"0",175,728,0,3640
"0",83,746,0,3091
"1",127,752,0,2595
"0",119,665,0,1934
"0",119,651,0,1940
"0",171,520,0,3614
"0",155,608,0,3222
"1",143,520,0,3422
"0",115,520,0,3640
"0",131,673,0,2613
"0",115,554,0,3056
"1",135,669,0,3059
"0",40,704,0,3941
"0",171,675,0,4005
"0",135,699,0,3144
"0",131,652,0,3967
"0",24,520,0,3766
"0",175,708,0,2701
"0",246,758,0,3959
"0",155,708,0,2450
"0",175,676,0,2907
"0",175,710,0,2126
"0",75,670,0,3056
"0",491,686,0,2191
"0",186,731,0,3127
"0",182,738,0,8974
"0",36,520,0,2978
"0",99,691,0,1751
"0",139,682,0,2507
"0",159,669,0,2819
"1",NA,520,0,3707
"0",230,681,0,3684
"0",127,674,0,NA
"0",159,520,0,1495
"0",123,689,0,2340
"0",103,580,0,3507
"0",52,604,0,3554
"0",171,640,0,2994
"0",159,520,0,3410
"0",95,659,0,2967
"0",131,642,0,2494
"0",115,624,0,3528
"0",246,520,0,NA
"0",75,539,0,3847
"0",52,739,0,3693
"0",171,696,0,2214
"0",159,520,0,3772
"0",609,702,0,2746
"1",95,520,0,3268
"0",67,726,0,3450
"0",210,630,0,2861
"0",214,696,0,2754
"0",44,520,0,3209
"0",147,689,0,2613
"0",63,702,0,2769
"0",182,560,0,3498
"0",155,760,0,3724
"0",24,734,0,3852
"0",75,679,0,2878
"0",143,702,0,2436
"0",52,665,0,3587
"1",40,520,0,2441
"0",115,714,0,1599
"0",75,623,0,3764
"0",127,621,0,2825
"0",151,716,0,2253
"0",83,654,0,3268
"0",95,520,0,3658
"0",147,520,0,2099
"0",56,717,0,3900
"0",103,680,0,2779
"0",190,730,0,NA
"0",91,731,0,3262
"0",60,621,0,3705
"0",115,520,0,563
"0",246,675,0,NA
"1",115,520,0,3837
"0",131,675,0,2672
"0",163,520,0,969
"0",151,708,0,3135
"0",127,721,0,3728
"0",246,520,0,3346
"0",159,705,0,1344
"0",194,756,0,3832
"0",143,686,0,2800
"0",91,520,0,3675
"0",103,760,0,3686
"0",202,757,0,-132
"0",103,648,0,3262
"0",167,520,0,1515
"0",202,520,0,2931
"0",167,680,0,311
"0",139,520,0,1684
"0",91,610,0,3410
"0",230,585,0,3799
"0",56,709,0,2347
"1",60,607,0,3830
"0",246,520,0,1073
"0",111,676,0,3091
"0",226,520,0,3027
"0",167,734,0,2109
"0",123,671,0,3971
"0",119,672,0,2808
"0",83,729,0,3897
"0",194,520,0,2321
"0",131,677,0,2989
"0",36,757,0,3965
"0",214,760,0,2647
"0",91,737,0,NA
"0",186,697,0,2138
"0",28,760,0,2075
"0",44,754,0,-132
"0",135,520,0,4100
"0",175,520,0,3742
"0",186,681,0,2967
"0",127,520,0,2720
"1",115,520,0,3144
"0",246,760,0,3990
"0",83,681,0,3233
"0",222,633,0,3799
"0",163,696,0,3764
"0",238,731,0,3197
"0",123,520,0,10043
"1",190,717,0,3602
"0",119,758,0,2967
"0",79,580,0,3498
"0",127,699,0,2257
"0",147,666,0,3227
"0",91,657,0,2274
"0",214,520,0,1654
"0",147,637,0,2453
"0",139,668,0,3365
"0",67,688,0,3123
"0",83,714,0,3162
"0",151,675,0,3056
"0",111,669,0,3116
"0",246,620,0,3624
"0",246,760,0,2436
"0",159,659,0,2436
"0",147,744,0,2691
"0",52,716,0,3445
"0",218,707,0,3454
"0",242,744,0,3948
"0",159,599,0,3405
"0",226,637,0,3498
"0",111,687,0,3303
"0",246,520,0,3016
"0",NA,758,0,3944
"0",63,520,0,2541
"0",202,596,0,3950
"0",210,750,0,2052
"0",131,717,0,2967
"0",151,594,0,3002
"0",75,699,0,2380
"0",111,698,0,1934
"0",127,713,0,NA
"0",119,617,0,3621
"0",95,759,0,3755
"0",NA,710,0,3410
"0",159,674,0,3410
"0",147,697,0,3476
"0",75,685,0,2672
"0",139,722,0,3725
"0",159,520,0,-132
"1",48,691,0,3728
"0",179,699,0,328
"0",194,663,0,3374
"0",175,641,0,3126
"0",151,520,0,1103
"0",147,670,0,3737
"0",222,520,0,3233
"0",115,687,0,3357
"0",56,604,0,3593
"0",115,641,0,2465
"0",44,520,0,3252
"0",48,689,0,3029
"0",123,653,0,3223
"0",238,520,0,568
"0",210,577,0,3629
"0",87,740,0,3445
"0",127,721,0,1108
"0",167,683,0,1462
"0",143,520,0,3528
"0",501,690,0,3658
"0",175,612,0,3410
"0",159,520,0,3560
"1",151,520,0,4075
"0",194,520,0,1661
"0",131,520,0,3171
"1",119,600,0,3658
"0",179,686,0,3498
"0",99,604,0,3041
"0",175,520,0,2983
"0",71,683,0,2945
"0",246,520,0,3273
"0",139,657,0,2976
"0",151,760,0,3705
