"Label","LOAN","MORTDUE","VALUE","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"0",3600,83700,111800,6,0,0,192.73333333,1,28,NA
"0",3600,61327,76484,9,NA,2,202.51077515,0,25,41.516389699
"0",3600,100693,114743,6,0,0,88.470452135,0,14,29.393543382
"1",3600,48507,61000,13,1,4,97.4,0,17,NA
"0",3600,52337,63989,20,0,0,204.27249884,0,20,20.470915508
"1",3700,17857,21144,5,0,0,129.71732313,1,9,26.634347518
"1",3800,19135,97692,1.6,1,6,252.63333333,1,25,NA
"0",3800,51180,63459,20,0,0,203.75153358,0,20,20.067042051
"0",3800,NA,73189,NA,NA,NA,NA,NA,NA,22.253949156
"0",3800,11543,46045,NA,0,0,204.64799167,0,11,42.173165882
"1",3900,29896,45960,11,0,0,146.12324219,0,14,24.478881191
"1",3900,14500,22092,3.5,0,1,150.3,5,8,NA
"0",3900,52825,63000,8,0,4,171.66666667,1,31,NA
"0",3900,102143,118742,2,0,0,85.277365579,0,13,29.343921089
"1",3900,21200,39000,4,0,1,86.566666667,2,14,NA
"0",4000,105164,112774,1,0,0,94.724874167,0,13,29.390928055
"0",4000,54543,61777,21,0,0,205.58668003,0,19,21.806563464
"1",4000,NA,80609,1.5,0,2,126.53333333,3,12,NA
"1",4000,26572,31960,11,0,0,117.79510387,0,8,41.286491948
"1",4000,17000,52012,22,3,1,85.333333333,1,9,NA
"1",4000,29562,37200,6,0,0,92.133333333,1,26,NA
"1",4000,41700,76725,0.5,0,3,136.13333333,0,15,NA
"1",4000,58000,69440,3.5,0,1,168.66666667,0,18,NA
"1",4000,5700,18000,NA,0,0,12.2,0,17,NA
"1",4000,45000,58350,3.5,0,0,162,3,16,NA
"1",4000,7000,16020,18,0,1,85.8,2,23,NA
"0",4000,66000,79050,1.8,2,0,279,1,6,NA
"0",4000,NA,45760,0,0,0,NA,0,0,NA
"0",4000,62000,78000,4,0,0,109.56666667,0,15,NA
"0",4000,64240,63990,5,2,0,160.3,1,23,NA
"1",4000,74000,93000,2.6,1,3,186.63333333,NA,9,NA
"1",4000,55000,59000,12,2,0,146.1,0,22,NA
"0",4000,67625,80698,11,NA,1,212.34930388,0,25,39.128717628
"0",4000,67533,71865,10,NA,2,227.79298841,0,25,39.166328703
"1",4100,NA,19132,0,0,0,100.77465221,0,19,33.840919904
"1",4100,58500,65000,8,1,2,63.933333333,2,15,NA
"0",4100,57992,63797,7,0,4,165.50503695,1,31,22.27817437
"0",4200,56544,59218,19,0,0,211.00259912,1,20,19.027704425
"1",4200,34800,50225,2,1,0,93.5,1,5,NA
"0",4200,67700,77000,4,0,0,128.83333333,0,31,NA
"0",4200,44000,55085,6,NA,1,75.433333333,NA,16,NA
"0",4200,66272,82953,3,0,0,110.27866259,0,15,43.450587911
"0",4200,50216,58541,19,0,0,209.87130224,0,19,20.20803267
"0",4300,71206,78698,3,0,0,129.93286902,0,31,34.181376516
"0",4300,68815,79852,6,0,0,105.12070881,0,14,41.806376152
"0",4300,72021,80027,2,2,0,263.97030029,0,5,36.432093937
"0",4400,53969,63869,7,0,3,162.39001067,0,30,23.581079239
"0",4400,NA,60250,NA,NA,NA,NA,NA,NA,NA
"1",4400,53091,64074,14,1,3,89.86105825,0,17,39.158084834
"0",4500,66127,79087,4,1,0,81.349065098,0,15,40.70530876
"0",4500,NA,77182,NA,NA,NA,NA,NA,NA,25.227252904
"1",4500,39000,66000,1,0,0,170.36666667,1,19,NA
"0",4500,71082,79247,4,0,0,118.76041007,0,14,41.421110521
"0",4500,NA,49044,0,0,0,NA,0,0,11.652738796
"1",4500,57000,NA,5,NA,NA,222.6,1,13,NA
"1",4500,34184,46000,3.5,0,1,122.6,2,22,NA
"1",4500,66517,87000,10,0,4,125.8,0,34,NA
"0",4500,45500,50000,6,0,0,86.166666667,0,18,NA
"1",4500,118000,146870,4.5,2,0,203.86666667,1,20,NA
"1",4500,90000,105800,6,2,3,80.1,3,10,NA
"0",4700,67913,97205,2,0,0,142.82439151,0,24,35.226997192
"0",4700,71855,88566,2,2,0,283.95953809,0,5,36.475473283
"0",4700,53918,59511,6,NA,0,54.13647743,NA,15,34.416507811
"1",4700,49100,58238,0.1,0,0,61.8,2,17,NA
"0",4700,88026,115506,6,0,0,182.24833156,0,27,29.20902258
"1",4700,26900,45000,9,1,2,90.466666667,1,16,NA
"0",4800,67317,97191,3,0,0,137.31972481,0,23,34.275293777
"0",4800,56067,63102,9,0,3,160.14631128,1,30,21.583760121
"0",4800,80482,88342,7,0,0,275.03239483,0,11,43.717635112
"0",4900,58688,63348,9,0,3,179.16257471,2,31,22.544392837
"0",4900,65873,90408,2,0,0,141.85899895,0,23,37.76961861
"1",4900,25597,23031,5,0,0,101.74676644,0,8,33.243156978
"0",4900,67794,84630,4,0,0,112.57341888,0,15,41.673996362
"1",4900,44000,59745,10,0,0,81.5,3,13,NA
"0",4900,NA,28437.5,NA,NA,NA,NA,NA,NA,NA
"0",4900,170986,245300,NA,0,0,131.93333333,0,22,NA
"1",4900,65576,65774,6,1,2,61.64250608,1,14,40.590910018
"0",4900,57461,68494,8,0,4,183.63561323,0,30,22.795423552
"0",4900,NA,69706,NA,NA,NA,NA,NA,NA,33.705587738
"0",5000,NA,34846,NA,NA,NA,NA,NA,NA,33.354652626
"0",5000,47479,61690,5,NA,0,65.032969007,NA,16,36.699414922
"0",5000,66839,87168,4,0,0,122.59722258,0,15,40.616779346
"0",5000,12457,53448,NA,0,0,207.14348133,0,12,44.107951691
"0",5000,90059,113714,7,0,0,193.63644686,0,28,25.897316482
"1",5000,22320,34900,10,0,0,65.7,1,5,NA
"1",5000,40000,70500,0.4,0,0,61.766666667,2,8,NA
"1",5000,100882,102700,5,0,1,58.866666667,0,16,NA
"1",5000,31000,47350,12,NA,NA,NA,NA,NA,NA
"1",5000,63125,126500,3,0,0,100.3,0,14,NA
"1",5000,1e+05,129693.5,13,NA,NA,NA,NA,NA,NA
"1",5000,NA,132000,17.5,0,2,121.9,0,14,NA
"1",5000,NA,9100,1,0,0,54.733333333,2,8,NA
"1",5000,34200,50830,6,0,0,57,1,9,NA
"1",5000,NA,71277,10,0,0,72.433333333,1,12,NA
"1",5000,123000,157500,9,NA,NA,NA,NA,NA,NA
"1",5000,16600,25250,6,0,0,88.7,1,3,NA
"1",5000,NA,52000,NA,0,1,285.33333333,0,6,NA
"1",5000,22700,34225,4,0,0,74.633333333,3,9,NA
"1",5000,6000,38575,7,0,1,335.03333333,3,42,NA
"1",5000,NA,74500,19,NA,NA,NA,NA,NA,NA
"1",5000,NA,94119,19,NA,NA,NA,NA,NA,NA
"0",5000,73126,87500,1,0,0,125.96666667,2,10,NA
"0",5000,72517,86250,19,0,1,300.36666667,1,24,NA
"0",5000,26037,35000,12,0,0,182.63333333,0,13,NA
"0",5000,39000,50340,10,NA,NA,179.83333333,NA,19,NA
"0",5000,NA,26550,1.7,0,0,276.96666667,1,14,NA
"0",5000,70470,77908,5,NA,NA,NA,NA,NA,NA
"0",5000,NA,36375,3,0,0,266.8,1,26,NA
"0",5000,74225,89640,0.3,NA,NA,NA,NA,NA,NA
"0",5000,NA,65400,1.5,0,0,51.766666667,0,4,NA
"1",5000,NA,37500,NA,0,3,107.13333333,10,5,NA
"0",5000,78565,98500,24,0,0,51.766666667,3,14,NA
"0",5000,59900,80800,15,0,0,219.13333333,1,18,NA
"1",5000,10171,26809,13,3,6,228.3,0,24,NA
"1",5000,78893,82600,16,0,0,133.9,1,34,NA
"1",5000,85165,107940,6,5,3,122.76666667,5,28,NA
"1",5000,68000,75616,0.1,0,0,131.86666667,0,30,NA
"1",5000,71571,85100,1.4,0,1,82.133333333,0,13,NA
"1",5000,28000,36810,2,1,0,222.2,1,6,NA
"1",5000,40000,32480,8,3,2,163.36666667,1,16,NA
"1",5000,81748,NA,14,1,2,144.06666667,2,17,NA
"0",5000,44674,59375,10,NA,NA,178.6925087,NA,19,26.448197463
"1",5000,61999,75021.3,5,0,0,97.1,0,23,NA
"0",5000,80153,97275,1,0,0,120.67506316,2,10,37.512708409
"0",5000,68739,93435,3,0,0,148.72040469,0,23,36.669278612
"0",5000,51209,55320,5,NA,1,69.107465597,NA,15,35.025072968
"1",5000,46696,85202,2,1,2,148.34064549,0,14,46.489874001
"0",5000,NA,46281,2,0,0,257.6522064,0,26,40.952588884
"0",5000,66435,82819,2,0,0,125.13062556,0,14,42.183538672
"0",5100,179725,251962,NA,0,0,127.49881344,0,22,40.308259362
"0",5100,85583,115341,7,0,0,177.95825512,1,28,26.257970132
"0",5100,72891,80691,1,1,0,273.88170516,0,6,39.852146515
"1",5100,30755,46735,10,0,0,69,0,17,NA
"0",5100,NA,26715,1,0,0,258.78929762,0,14,26.722343337
"0",5100,87258,121382,6,0,0,181.66304016,0,28,25.444759149
"0",5100,NA,28291,2,0,0,277.94456081,1,14,23.644691283
"1",5100,9900,30451,11,0,0,21.2,0,2,NA
"0",5100,93000,116875,10,NA,NA,417.63333333,2,50,NA
"1",5100,15500,34000,0,1,2,86.233333333,2,13,NA
"1",5100,129319,141875,7,1,0,157.85980209,0,36,25.650741224
"0",5100,66834,87361,0,2,0,290.03410799,0,6,38.766985071
"0",5100,73882,96031,0,0,0,125.78740011,1,10,34.446079222
"0",5100,74071,97064,0,0,0,121.0759726,2,9,36.401729548
"0",5100,62702,79784,2,0,0,108.07259081,0,15,43.290139816
"0",5200,NA,36425,2,0,0,266.81346457,1,14,23.797401058
"0",5200,67000,77000,9,0,1,119.7,0,25,NA
"0",5200,43039,53521,11,NA,NA,184.29668729,NA,19,24.414763177
"0",5200,19000,26000,0,1,0,17.2,10,7,NA
"1",5200,NA,9500,1,0,1,81.1,1,2,NA
"0",5200,91250,110000,24,0,0,123.76666667,1,12,NA
"0",5200,16324,45187,NA,0,0,221.11808171,0,11,42.712093844
"1",5200,40564,39527,0,0,0,157.77103572,1,13,72.670433313
"0",5300,73698,84427,4,NA,NA,NA,NA,NA,19.131201179
"0",5300,66987,65111,4,1,0,175.32870382,1,22,40.442570389
"1",5300,26908,36078,NA,0,0,302.35870946,0,8,39.196985402
"0",5300,NA,49396,0,0,0,NA,0,0,12.043670576
"0",5300,44993,50673,7,NA,NA,184.74276716,NA,18,27.906122726
"1",5300,51000,64000,10,1,0,98.333333333,0,12,NA
"0",5300,75958,91703,0,0,0,124.1821788,1,10,34.599060194
"0",5300,97132,117343,22,0,0,109.93390789,1,11,35.8385427
"0",5300,60826,80826,10,NA,1,212.89174607,0,25,38.591494028
"0",5300,83552,96809,0,NA,NA,NA,NA,NA,28.423961906
"0",5300,47449,63895,19,0,0,208.16271401,0,20,19.762113701
"0",5300,50934,62957,21,0,0,197.24195728,0,20,19.350505633
"0",5400,53429,64505,5,NA,0,69.542430107,NA,16,36.480236299
"0",5400,NA,65474,1,0,0,40.709849004,0,4,37.848771035
"0",5400,47844,52040,8,NA,NA,189.03430464,NA,18,24.701136262
"1",5400,45509,57453,4,0,0,95.6,0,22,NA
"1",5400,59720,63450,5,0,1,199.9,1,20,NA
"0",5400,86922,119846,5,0,0,185.07634726,1,28,26.354889295
"0",5400,68625,82304,2,0,0,136.63294416,0,30,32.05002349
"0",5400,65814,85848,4,0,0,122.9402886,0,15,44.092325682
"0",5400,NA,75254,NA,NA,NA,NA,NA,NA,23.163742947
"1",5400,78300,88000,8,0,0,102.5,3,19,NA
"0",5400,48152,55760,6,NA,0,78.452125766,NA,16,35.763637997
"0",5500,70481,82446,8,0,1,116.59197688,0,24,37.612682724
"0",5500,NA,35402,NA,NA,NA,NA,NA,NA,35.272073735
"0",5500,87765,101053,22,0,0,55.558049044,2,13,31.375542416
"0",5500,52897,65054,20,0,0,189.29531847,0,19,20.654128896
"1",5500,24700,35675,1,0,3,153.93333333,3,27,NA
"1",5500,NA,43132,NA,NA,NA,NA,NA,NA,NA
"0",5500,43486,81600,4,0,0,216.13333333,4,30,NA
"1",5500,21359,30000,7,3,2,130.8,3,14,NA
"1",5500,NA,13770,5,0,1,167.36666667,1,8,NA
"0",5500,93051,115374,6,0,0,187.02051879,1,27,27.646748505
"0",5500,87438,116679,6,0,0,186.42441602,1,27,28.417530896
"0",5500,78059,78179,5,NA,NA,NA,NA,NA,20.679313582
"0",5500,72147,69918,4,2,0,158.5344979,0,23,43.404430238
"1",5500,40584,46645,4,0,1,136.32063746,0,13,34.494708965
"1",5500,NA,12972,1,0,1,82.294266354,0,2,36.986744097
"1",5500,37368,48502,9,0,2,48.995845002,0,10,33.126483967
"0",5500,NA,66251,1,0,0,43.722336946,0,3,41.452043532
"0",5500,71644,72696,4,2,0,150.86584513,0,22,40.442567785
"1",5500,85845,122205,5,0,0,172.21327665,1,26,32.676640875
"0",5600,53793,66379,22,0,0,206.09913412,0,19,18.369540527
"0",5600,69435,83489,14,0,0,200.41843402,1,17,22.841092848
"0",5600,29648,39907,11,0,0,180.56306914,0,13,21.554949656
"0",5600,76407,77485,9,0,0,91.683770634,0,24,37.773350976
"1",5600,5000,66700,31,1,1,204.06666667,0,11,NA
"1",5600,55160,86800,3,1,1,148.13333333,1,14,NA
"0",5600,41439,53893,8,NA,NA,181.32298993,NA,19,24.651395744
"0",5600,15275,47954,NA,0,0,204.33524504,0,12,42.397769638
"0",5700,100934,111496,23,0,0,117.49959288,0,12,38.750562668
"0",5700,NA,74685,NA,NA,NA,NA,NA,NA,24.274865275
"0",5700,49514,58249,21,0,0,212.53911509,0,21,21.258026878
"0",5700,76948,85753,7,0,0,128.47645151,0,25,37.85968784
"0",5700,28127,36524,10,0,0,181.28295679,0,13,24.339533569
"0",5700,NA,68591,0,0,0,69.645660473,0,4,41.185039558
"0",5700,26927,35461,0,1,0,21.799352154,10,6,29.439664242
"0",5700,49806,82242,3,0,0,210.34747857,3,30,31.243408701
"1",5700,70000,84579,0.1,0,0,95.9,1,17,NA
"1",5700,58400,75000,4,0,0,177.5,2,26,NA
"1",5700,80437,109647,9.5,0,0,104.4,0,14,NA
"1",5700,77213,92661,0,0,0,97.133170952,1,16,41.777888631
"0",5700,62319,82923,4,0,0,117.6739652,0,15,42.464866285
"0",5700,71556,79538,2,0,0,92.643084556,0,15,41.21001247
"0",5700,NA,39052,3,0,0,272.22062826,0,25,39.896104618
"1",5700,74172,79846,0,0,0,157.00977472,0,28,47.415228659
"0",5700,28116,33450,0,1,0,15.396587392,9,7,30.017013296
"0",5700,NA,64910,NA,NA,NA,NA,NA,NA,33.850461221
"0",5700,NA,69172,1,0,0,48.853667057,0,3,38.773685963
"0",5800,NA,36385,2,0,0,266.55339438,1,25,43.309764541
"0",5800,NA,41119,2,0,0,261.40521864,0,26,42.191941556
"0",5800,75000,90543,18,0,0,300.4872058,1,23,38.940575356
"0",5800,79296,86885,19,0,1,307.9748816,1,23,39.959108765
"1",5800,27791,46833,3,0,0,83.289062746,1,13,30.187805389
"0",5800,172595,250155,NA,0,0,126.40098356,0,21,43.20775979
"0",5800,NA,34704,NA,NA,NA,NA,NA,NA,34.174055545
"0",5800,NA,73804,1,0,0,71.766557161,0,4,41.287423388
"0",5800,46595,58191,5,0,0,80.131746414,0,17,24.140153667
"1",5900,NA,28000,1,2,1,36.766666667,1,8,NA
"0",5900,70973,77989,7,0,0,120.37941429,0,24,41.442500462
"1",5900,NA,33100,NA,0,0,238.6,1,2,NA
"0",5900,NA,51189,1,0,0,NA,0,0,12.749180645
"0",5900,82912,91175,2,NA,NA,NA,NA,NA,27.595273523
"1",5900,25972,41856,2,0,2,157.96001139,3,27,40.628278175
"0",5900,74187,78976,9,0,1,118.44249103,0,24,40.110407425
"0",5900,NA,66903,NA,NA,NA,NA,NA,NA,32.782926828
"1",5900,106650,NA,1,0,6,250.56666667,4,23,NA
"0",6000,NA,69492,NA,NA,NA,NA,NA,NA,32.977197226
"0",6000,95232,115977,22,0,0,149.0229081,1,12,37.954336913
"1",6000,47625,85925,0.1,2,1,154.13333333,4,26,NA
"1",6000,24600,30500,4.5,0,1,116.1,8,34,NA
"1",6000,65000,94355,26,1,3,69.3,1,34,NA
"1",6000,NA,NA,13,NA,2,122.76666667,NA,23,NA
"1",6000,33600,NA,2,0,0,140.93333333,1,20,NA
"1",6000,42000,58305,19,0,0,90,2,13,NA
"1",6000,32446,54904,2,0,0,51.733333333,1,9,NA
"1",6000,9660,35900,8,0,1,136.3,3,6,NA
"1",6000,22859,32200,4,0,0,83.333333333,3,20,NA
"1",6000,16878,25850,1,0,1,218.6,5,34,NA
"0",6000,72951,80000,22.8,0,0,343.9,1,47,NA
"0",6000,43000,57460,1.6,1,NA,101.5,NA,13,NA
"0",6000,53500,64790,0.1,0,2,105.4,3,18,NA
"0",6000,69876,94394.07,0,0,1,179.56666667,0,32,NA
"0",6000,51000,86125,6,0,0,222.16666667,2,24,NA
"0",6000,53227,68700,3,0,2,122.73333333,0,23,NA
"0",6000,NA,43300,NA,NA,NA,100.93333333,NA,9,NA
"0",6000,14000,61493,23,0,0,321.63333333,1,13,NA
"1",6000,40000,54600,4,0,4,101.4,0,19,NA
"1",6000,18793,27750,6,0,3,119.7,0,8,NA
"1",6000,179397,2e+05,5,6,0,90.3,6,29,NA
"1",6000,NA,95500,6,1,2,129.9,1,22,NA
"0",6000,79046,103048,0,0,0,181.69653802,0,32,37.289989924
"0",6000,NA,53190,0,0,0,NA,0,0,15.174415003
"1",6000,NA,43683,NA,NA,NA,NA,NA,NA,21.935498813
"0",6000,129731,154113,12,0,0,213.53333333,0,19,NA
"0",6100,48500,62500,7,NA,4,111.3,2,11,NA
"0",6100,NA,47400,NA,NA,NA,NA,NA,NA,NA
"0",6100,91704,114799,22,0,0,129.25008957,1,12,36.746766237
"0",6100,47604,54966,5,0,0,70.69532973,0,18,24.76674453
"0",6100,NA,35250,NA,NA,NA,303,NA,12,NA
"1",6100,62751,95617,1,0,0,138.64686318,1,13,31.757270694
"0",6100,48300,53388,9,NA,NA,178.48960216,NA,19,26.72002818
"0",6100,68743,65321,3,1,0,153.0667831,0,22,40.15052706
"0",6100,79636,87276,20,0,0,350.43613755,0,47,28.848276581
"0",6100,NA,46830,0,0,1,NA,0,0,13.306013076
"0",6100,78753,95433,0,NA,NA,NA,NA,NA,28.925117417
"0",6100,77265,97944,0,NA,NA,NA,NA,NA,28.876463055
"0",6200,75657,84368,4,0,0,122.24494502,0,30,32.552543335
"0",6200,171582,245730,NA,0,0,135.10893025,0,22,39.783818126
"0",6200,NA,33909,NA,NA,NA,NA,NA,NA,34.517404516
"0",6200,46601,59486,5,0,0,84.63211066,0,18,25.35001036
"0",6200,60354,87596,5,0,0,210.17306467,2,23,34.054811237
"0",6200,45356,82054,2,0,0,201.33448747,4,29,29.661710162
"0",6200,NA,41657,NA,NA,NA,293.95872355,NA,11,30.197630728
"1",6200,NA,NA,3,NA,NA,80.5,2,17,NA
"0",6200,NA,80078,NA,NA,NA,NA,NA,NA,25.375544161
"1",6200,42100,57385,8.5,0,1,164.8,1,28,NA
"0",6200,70793,71552,3,2,0,162.94515692,0,23,40.315396587
"0",6200,73881,98550,0,0,1,182.8787798,0,31,37.19944569
"0",6200,45787,64854,4,NA,1,63.117023228,NA,16,36.538747338
"0",6200,75121,96462,0,NA,NA,NA,NA,NA,27.167655962
"0",6200,NA,51732,NA,NA,NA,NA,NA,NA,12.324707091
"0",6200,133882,155222,9,0,0,212.53764322,0,19,20.616783656
"0",6200,75623,89634,24,0,0,324.68682941,0,47,28.285532103
"0",6200,45564,61956,2,0,NA,101.16706032,NA,13,38.675140153
"0",6300,99469,116260,23,0,0,124.74559549,1,12,35.642270107
"0",6300,55000,69000,13,0,0,130.06666667,0,20,NA
"0",6300,NA,72890,1,0,0,41.250113587,0,3,39.198068218
"0",6300,44226,57779,7,NA,0,63.626413251,NA,16,33.111829109
"0",6300,NA,39050,NA,NA,NA,294.47804756,NA,12,31.447750409
"0",6300,78724,80355,24,0,0,335.07414261,1,46,31.177261304
"1",6300,59793,98314,2.2,0,0,120.73333333,0,8,NA
"1",6300,65875,76000,0.8,2,0,84,1,12,NA
"0",6300,45582,89005,2,0,0,209.35804693,4,30,29.595955514
"0",6300,92659,117352,6,0,0,199.01192718,0,27,26.520049519
"0",6300,58052,70091,9,0,4,153.78043854,1,30,21.719595981
"0",6300,49498,64296,6,NA,4,111.20651324,1,10,38.577131937
"0",6300,79667,96988,1,NA,NA,NA,NA,NA,29.835960721
"1",6300,12476,32559,12,3,6,227.12990511,0,23,23.31951678
"0",6300,69357,73726,3,2,0,163.28393319,1,22,42.407814245
"0",6300,26655,29792,1,1,0,12.759267447,10,6,28.36185178
"1",6400,25144,45200,25,0,2,128,4,17,NA
"0",6400,99131,125652,8,NA,NA,419.3751538,1,50,42.244927573
"0",6400,76577,83200,5,NA,NA,NA,NA,NA,22.055034214
"0",6400,47251,58157,0,0,NA,104.79246836,NA,13,36.416886965
"0",6400,53476,70157,7,0,3,164.31540986,1,30,21.137981572
"0",6400,81116,86148,8,0,0,262.17542613,0,11,42.068268179
"0",6400,17491,63614,23,0,0,325.29930871,0,12,40.244404369
"0",6400,65215,74332,9,NA,1,213.8321032,0,24,40.64461955
"0",6400,62746,75016,12,0,0,133.10154783,0,20,40.188123128
"0",6400,76732,78084,8,0,0,109.19302137,0,26,37.964554318
"0",6400,70035,78635,3,0,0,147.07716353,0,31,31.206129763
"0",6400,39687,51666,9,NA,NA,177.59135402,NA,19,26.1209597
"0",6400,51436,91284,4,0,0,209.64289843,2,30,31.971971208
"0",6400,44968,62747,0,1,NA,101.39144532,NA,12,36.602947343
"0",6400,9113,46351,NA,0,0,202.25079583,0,11,45.114319388
"0",6400,28041,33438,1,1,0,10.42564285,10,6,29.753700283
"0",6400,57887,74776,3,0,1,126.32864372,0,22,28.756345434
"0",6500,47949,53102,9,NA,NA,180.84124987,NA,19,27.839006664
"0",6500,NA,37448,NA,NA,NA,333.23089989,NA,11,29.011980578
"1",6500,60054,70434,1,0,0,127.06270157,2,21,37.800352933
"0",6500,80739,97630,1,NA,NA,NA,NA,NA,30.531264536
"0",6500,63144,76754,2,0,2,129.0777116,0,23,29.055433128
"0",6500,33639,37345,11,0,0,191.0756559,0,13,24.227319339
"0",6500,78741,90599,0,NA,NA,NA,NA,NA,29.198860669
"0",6500,51724,87770,4,0,0,209.32631158,4,29,30.343448604
"1",6500,13600,NA,14,2,5,115.36666667,1,16,NA
"1",6500,48000,61000,1,1,0,97.299756098,6,38,NA
"1",6500,65000,80400,15,0,0,224.86666667,0,13,NA
"0",6500,22789,35836,1,0,0,110.56666667,2,30,NA
"0",6500,75113,115900,29,0,0,332.73333333,2,38,NA
"0",6500,55000,88300,29,0,0,234.4,1,17,NA
"0",6500,60000,70000,9,0,0,54.766666667,2,24,NA
"0",6500,70300,107500,1,0,0,242.46666667,1,38,NA
"1",6500,96314,105800,27,0,0,475.8,2,40,NA
"0",6500,81145,117530,29,0,0,327.20063852,1,38,34.345837692
"0",6500,NA,70886,NA,NA,NA,NA,NA,NA,23.47088075
"1",6500,183860,208910,4,6,0,86.452226941,6,29,69.8005248
"0",6500,58689,72557,0,0,1,94.00805286,2,18,34.898413066
"0",6600,62380,89742,31,0,0,232.52729073,0,16,26.160494887
"0",6600,74376,84855,3,NA,NA,NA,NA,NA,20.028353505
"0",6600,NA,48800,0,0,0,NA,0,0,12.219436152
"0",6600,68733,81973,5,0,0,96.977667199,0,14,42.211046784
"0",6600,40926,50486,10,NA,NA,179.80086812,NA,19,27.532376107
"0",6600,95450,112630,23,0,0,122.81558408,0,12,36.773458722
